split,variant,n_bins,degree,alpha,trend_weight,front_weight,macro_f1,per_class_f1,counts
small_prefix,quota,4,2,3.0,0.25,0.75,0.735057564311394,"{'0': 0.8, '1': 0.8612754766600921, '2': 0.5438972162740899}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,3.0,0.5,0.5,0.7120759414017059,"{'0': 0.7806440135207259, '1': 0.836815358554489, '2': 0.518768452129903}","{'0': 2776, '1': 2021, '2': 970}"
small_prefix,quota,4,2,3.0,0.5,0.5,0.7183589635910864,"{'0': 0.7876977152899824, '1': 0.8441814595660749, '2': 0.523197715917202}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,3.0,0.75,0.25,0.6048788768513031,"{'0': 0.7130275229357799, '1': 0.7345646437994723, '2': 0.36704446381865735}","{'0': 2605, '1': 2269, '2': 893}"
small_prefix,quota,4,2,3.0,0.75,0.25,0.67127152192728,"{'0': 0.7342706502636204, '1': 0.7863247863247863, '2': 0.49321912919343325}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,3.0,1.0,0.0,0.32674910444388877,"{'0': 0.5658018130665833, '1': 0.10848585690515807, '2': 0.3059596433599249}","{'0': 3553, '1': 1484, '2': 730}"
small_prefix,quota,4,2,3.0,1.0,0.0,0.278086947872517,"{'0': 0.4344463971880492, '1': 0.1071663379355687, '2': 0.2926481084939329}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,15.0,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,2,15.0,0.0,1.0,0.7620002242171829,"{'0': 0.8024604569420035, '1': 0.9046679815910585, '2': 0.5788722341184868}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,15.0,0.25,0.75,0.7507823991536422,"{'0': 0.7945254177035194, '1': 0.880187025131502, '2': 0.5776347546259051}","{'0': 2781, '1': 1901, '2': 1085}"
small_prefix,quota,4,2,15.0,0.25,0.75,0.735057564311394,"{'0': 0.8, '1': 0.8612754766600921, '2': 0.5438972162740899}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,15.0,0.5,0.5,0.7120759414017059,"{'0': 0.7806440135207259, '1': 0.836815358554489, '2': 0.518768452129903}","{'0': 2776, '1': 2021, '2': 970}"
small_prefix,quota,4,2,15.0,0.5,0.5,0.7183589635910864,"{'0': 0.7876977152899824, '1': 0.8441814595660749, '2': 0.523197715917202}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,15.0,0.75,0.25,0.6048788768513031,"{'0': 0.7130275229357799, '1': 0.7345646437994723, '2': 0.36704446381865735}","{'0': 2605, '1': 2269, '2': 893}"
small_prefix,quota,4,2,15.0,0.75,0.25,0.6737571512814905,"{'0': 0.7367311072056238, '1': 0.7863247863247863, '2': 0.4982155603140614}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,15.0,1.0,0.0,0.32674910444388877,"{'0': 0.5658018130665833, '1': 0.10848585690515807, '2': 0.3059596433599249}","{'0': 3553, '1': 1484, '2': 730}"
small_prefix,quota,4,2,15.0,1.0,0.0,0.278086947872517,"{'0': 0.4344463971880492, '1': 0.1071663379355687, '2': 0.2926481084939329}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,0.5,0.0,1.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,0.5,0.0,1.0,0.7214056152452093,"{'0': 0.7578207381370826, '1': 0.9053254437869822, '2': 0.5010706638115632}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,0.5,0.25,0.75,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,0.5,0.25,0.75,0.7502706781532419,"{'0': 0.7894551845342707, '1': 0.9053254437869822, '2': 0.5560314061384726}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,0.5,0.5,0.5,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,0.5,0.5,0.5,0.7571345510166706,"{'0': 0.7964850615114235, '1': 0.9053254437869822, '2': 0.569593147751606}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,0.5,0.75,0.25,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,0.5,0.75,0.25,0.7564243712011818,"{'0': 0.7957820738137082, '1': 0.9053254437869822, '2': 0.5681655960028551}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,0.5,1.0,0.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,0.5,1.0,0.0,0.7539387418469713,"{'0': 0.7933216168717048, '1': 0.9053254437869822, '2': 0.563169164882227}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,3.0,0.0,1.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,3.0,0.0,1.0,0.7599788663375122,"{'0': 0.7985940246045694, '1': 0.9053254437869822, '2': 0.576017130620985}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,3.0,0.25,0.75,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,3.0,0.25,0.75,0.7511088107616765,"{'0': 0.7884007029876977, '1': 0.9053254437869822, '2': 0.5596002855103498}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,3.0,0.5,0.5,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,3.0,0.5,0.5,0.7507537208539322,"{'0': 0.78804920913884, '1': 0.9053254437869822, '2': 0.5588865096359743}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,3.0,0.75,0.25,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,3.0,0.75,0.25,0.7558421441786392,"{'0': 0.7933216168717048, '1': 0.9053254437869822, '2': 0.5688793718772306}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,3.0,1.0,0.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,3.0,1.0,0.0,0.7558421441786392,"{'0': 0.7933216168717048, '1': 0.9053254437869822, '2': 0.5688793718772306}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,15.0,0.0,1.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,15.0,0.0,1.0,0.7564243712011818,"{'0': 0.7957820738137082, '1': 0.9053254437869822, '2': 0.5681655960028551}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,15.0,0.25,0.75,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,15.0,0.25,0.75,0.7238912445994199,"{'0': 0.7602811950790861, '1': 0.9053254437869822, '2': 0.5060670949321913}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,15.0,0.5,0.5,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,15.0,0.5,0.5,0.724956514322653,"{'0': 0.761335676625659, '1': 0.9053254437869822, '2': 0.5082084225553176}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,15.0,0.75,0.25,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,15.0,0.75,0.25,0.7253116042303973,"{'0': 0.7616871704745167, '1': 0.9053254437869822, '2': 0.5089221984296931}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,0,15.0,1.0,0.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,0,15.0,1.0,0.0,0.724956514322653,"{'0': 0.761335676625659, '1': 0.9053254437869822, '2': 0.5082084225553176}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,0.5,0.0,1.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,1,0.5,0.0,1.0,0.7214056152452093,"{'0': 0.7578207381370826, '1': 0.9053254437869822, '2': 0.5010706638115632}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,0.5,0.25,0.75,0.7711933928623971,"{'0': 0.7997896213183731, '1': 0.9163879598662207, '2': 0.5974025974025974}","{'0': 2859, '1': 1768, '2': 1140}"
small_prefix,quota,8,1,0.5,0.25,0.75,0.7594922275779351,"{'0': 0.8007029876977153, '1': 0.9053254437869822, '2': 0.5724482512491078}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,0.5,0.5,0.5,0.7714571251838205,"{'0': 0.8055890978092116, '1': 0.9169455430483724, '2': 0.5918367346938775}","{'0': 2952, '1': 1766, '2': 1049}"
small_prefix,quota,8,1,0.5,0.5,0.5,0.7566433749977111,"{'0': 0.7982425307557117, '1': 0.9013806706114399, '2': 0.5703069236259815}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,0.5,0.75,0.25,0.7705569900776741,"{'0': 0.8041486603284356, '1': 0.9169455430483724, '2': 0.5905767668562144}","{'0': 2940, '1': 1766, '2': 1061}"
small_prefix,quota,8,1,0.5,0.75,0.25,0.7539198203520421,"{'0': 0.7957820738137082, '1': 0.9013806706114399, '2': 0.5645967166309779}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,0.5,1.0,0.0,0.7467480143402204,"{'0': 0.7931034482758621, '1': 0.9146674764652293, '2': 0.5324731182795699}","{'0': 3071, '1': 1772, '2': 924}"
small_prefix,quota,8,1,0.5,1.0,0.0,0.7474553211600959,"{'0': 0.795079086115993, '1': 0.886259040105194, '2': 0.5610278372591007}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,3.0,0.0,1.0,0.7608673490930138,"{'0': 0.8043112158976087, '1': 0.9177489177489178, '2': 0.5605419136325148}","{'0': 3093, '1': 1713, '2': 961}"
small_prefix,quota,8,1,3.0,0.0,1.0,0.7599788663375122,"{'0': 0.7985940246045694, '1': 0.9053254437869822, '2': 0.576017130620985}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,3.0,0.25,0.75,0.7711933928623971,"{'0': 0.7997896213183731, '1': 0.9163879598662207, '2': 0.5974025974025974}","{'0': 2859, '1': 1768, '2': 1140}"
small_prefix,quota,8,1,3.0,0.25,0.75,0.7594922275779351,"{'0': 0.8007029876977153, '1': 0.9053254437869822, '2': 0.5724482512491078}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,3.0,0.5,0.5,0.7714571251838205,"{'0': 0.8055890978092116, '1': 0.9169455430483724, '2': 0.5918367346938775}","{'0': 2952, '1': 1766, '2': 1049}"
small_prefix,quota,8,1,3.0,0.5,0.5,0.7566433749977111,"{'0': 0.7982425307557117, '1': 0.9013806706114399, '2': 0.5703069236259815}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,8,1,3.0,0.75,0.25,0.7705569900776741,"{'0': 0.8041486603284356, '1': 0.9169455430483724, '2': 0.5905767668562144}","{'0': 2940, '1': 1766, '2': 1061}"
small_prefix,quota,8,1,3.0,0.75,0.25,0.7539198203520421,"{'0': 0.7957820738137082, '1': 0.9013806706114399, '2': 0.5645967166309779}","{'0': 2845, '1': 1521, '2': 1401}"
