ensemble,members,alpha_exact,weight_0,weight_1,weight_2,macro_f1,weighted_f1,pred_count_0,pred_count_1,pred_count_2
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.25,0.95,0.754543654534581,0.7708760385174886,25209,12824,10032
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.2,1.05,0.7545432573567981,0.7711662782715936,25411,12797,9857
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.0,1.15,0.7545407953176054,0.7700033059390962,24713,12642,10710
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.25,1.25,0.7545403684407713,0.7701193268570476,24739,12769,10557
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.95,1.0,0.7545391850629027,0.7711055678266944,25410,12660,9995
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.2,1.1,0.7545391630602426,0.7706180577370988,25021,12742,10302
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.1,1.05,0.7545335656175606,0.7711671954411917,25417,12746,9902
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.95,1.15,0.7545318075607196,0.7703169024121537,24980,12590,10495
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.75,1.2,0.7545303043791002,0.7700906228004945,24921,12403,10741
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.2,1.15,0.7545292556026674,0.7703731510814518,24897,12774,10394
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.1,1.1,0.7545280326261983,0.7706085586752481,25024,12698,10343
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.9,1.15,0.7545269221662304,0.7695609601724602,24453,12581,11031
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.75,1.1,0.7545182759643386,0.7703883588250873,25080,12418,10567
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.75,1.2,0.7545177163457427,0.7706011987160813,25284,12407,10374
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,0.95,1.15,0.7545163302881622,0.7699494022090826,24730,12615,10720
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,0.95,1.2,0.7545159879625108,0.7700296282041789,24812,12560,10693
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.1,1.1,0.7545147202002885,0.7707985473251739,25218,12714,10133
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.0,1.15,0.7545143468166972,0.7695678750851577,24436,12631,10998
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,0.8,1.1,0.7545108664969514,0.7705523862001528,25147,12465,10453
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.2,0.95,0.7545098156483158,0.7708473614297557,25219,12800,10046
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.15,1.2,0.754509207305531,0.770071923343996,24741,12687,10637
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.8,1.2,0.7545064087189551,0.770346938036197,25106,12460,10499
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.0,0.95,0.7545053227277579,0.7708542932468974,25253,12702,10110
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,1.05,0.95,0.7545040583575578,0.7708542527198029,25251,12722,10092
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.2,1.1,0.754503735487527,0.7707004460439304,25137,12796,10132
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.95,1.15,0.7545037153166216,0.7695390504930794,24445,12608,11012
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.0,1.1,0.7545002164992081,0.7706595990076661,25170,12660,10235
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,0.9,1.05,0.7544953879770854,0.7703129926860319,24923,12613,10529
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,1.2,1.25,0.7544952770003407,0.7700462108661559,24739,12765,10561
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.7,1.0,0.85,1.25,0.7544912092396611,0.7702489031234975,25047,12485,10533
tree_core,"lgbm,catboost,xgb,extra_trees",0.4,1.0,1.1,0.95,0.7544909723165755,0.7712321900947822,25485,12768,9812
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,1.15,1.15,0.7544901701963437,0.7703395582254506,24902,12757,10406
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,1.15,1.0,0.7544895291040259,0.7712597761214944,25501,12775,9789
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.85,1.1,0.7544883846161118,0.7706420156891679,25267,12525,10273
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.15,1.15,0.7544865402057274,0.7699711740528687,24705,12728,10632
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,0.9,1.2,0.7544821263868103,0.7702783621209102,25054,12540,10471
