split,model,variant,weight_mode,alpha,active_rows,macro_f1,per_class_f1,pred_counts
ratio_prefix,nb_full_single,raw,front9000,5.0,26986,0.745852584436494,"{'0': 0.850828729281768, '1': 0.8654658661329775, '2': 0.5212631578947369}","{'0': 9117, '1': 2409, '2': 2057}"
ratio_prefix,nb_full_single,quota,front9000,5.0,26986,0.723940420028406,"{'0': 0.8445807770961146, '1': 0.8103448275862069, '2': 0.5168956554028964}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,frac0.5,0.05,17241,0.7491310738243087,"{'0': 0.8423420824920681, '1': 0.864876119092234, '2': 0.5401750198886237}","{'0': 8533, '1': 2715, '2': 2335}"
ratio_prefix,exact_posterior,quota,frac0.5,0.05,17241,0.7208827293781619,"{'0': 0.8459441036128152, '1': 0.7998084291187739, '2': 0.5168956554028964}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,frac0.5,0.5,17241,0.7491310738243087,"{'0': 0.8423420824920681, '1': 0.864876119092234, '2': 0.5401750198886237}","{'0': 8533, '1': 2715, '2': 2335}"
ratio_prefix,exact_posterior,quota,frac0.5,0.5,17241,0.7205993092818809,"{'0': 0.8459441036128152, '1': 0.7993295019157088, '2': 0.5165243223171184}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,frac0.5,2.0,17241,0.7491310738243087,"{'0': 0.8423420824920681, '1': 0.864876119092234, '2': 0.5401750198886237}","{'0': 8533, '1': 2715, '2': 2335}"
ratio_prefix,exact_posterior,quota,frac0.5,2.0,17241,0.7227842600877074,"{'0': 0.8460577141558737, '1': 0.8065134099616859, '2': 0.5157816561455626}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,frac0.5,10.0,17241,0.7404477732036692,"{'0': 0.8558304278045271, '1': 0.8647058823529412, '2': 0.5008070094535393}","{'0': 9267, '1': 2672, '2': 1644}"
ratio_prefix,exact_posterior,quota,frac0.5,10.0,17241,0.694618353323413,"{'0': 0.8335605544194501, '1': 0.8017241379310345, '2': 0.44857036761975494}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,frac0.5,0.5,17241,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,frac0.5,0.5,17241,0.6471598349576807,"{'0': 0.783003862758464, '1': 0.7021072796934866, '2': 0.45636836242109174}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,frac0.5,5.0,17241,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,frac0.5,5.0,17241,0.6471598349576807,"{'0': 0.783003862758464, '1': 0.7021072796934866, '2': 0.45636836242109174}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,frac0.5,0.5,17241,0.7471549527984673,"{'0': 0.8546421449146909, '1': 0.8666666666666667, '2': 0.5201560468140443}","{'0': 9250, '1': 2412, '2': 1921}"
ratio_prefix,nb_full,quota,frac0.5,0.5,17241,0.7196458851540114,"{'0': 0.8434446716655306, '1': 0.8026819923371648, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,frac0.5,5.0,17241,0.7471549527984673,"{'0': 0.8546421449146909, '1': 0.8666666666666667, '2': 0.5201560468140443}","{'0': 9250, '1': 2412, '2': 1921}"
ratio_prefix,nb_full,quota,frac0.5,5.0,17241,0.7196458851540114,"{'0': 0.8434446716655306, '1': 0.8026819923371648, '2': 0.5128109914593391}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,frac0.5,0.5,17241,0.7470322396886374,"{'0': 0.8545948041876696, '1': 0.8666666666666667, '2': 0.519835248211576}","{'0': 9251, '1': 2412, '2': 1920}"
ratio_prefix,nb_full_single,quota,frac0.5,0.5,17241,0.7227171948033083,"{'0': 0.84560327198364, '1': 0.8026819923371648, '2': 0.5198663200891199}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,frac0.5,5.0,17241,0.7470322396886374,"{'0': 0.8545948041876696, '1': 0.8666666666666667, '2': 0.519835248211576}","{'0': 9251, '1': 2412, '2': 1920}"
ratio_prefix,nb_full_single,quota,frac0.5,5.0,17241,0.7227171948033083,"{'0': 0.84560327198364, '1': 0.8026819923371648, '2': 0.5198663200891199}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,decay3.0,0.05,34482,0.7548510816480999,"{'0': 0.8527628417801167, '1': 0.8566714786553928, '2': 0.5551189245087901}","{'0': 8680, '1': 2761, '2': 2142}"
ratio_prefix,exact_posterior,quota,decay3.0,0.05,34482,0.7281715733744695,"{'0': 0.8585548738922972, '1': 0.8079501915708812, '2': 0.5180096546602302}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,decay3.0,0.5,34482,0.7617235116647837,"{'0': 0.86191524180351, '1': 0.8617683686176837, '2': 0.5614869245731575}","{'0': 8919, '1': 2730, '2': 1934}"
ratio_prefix,exact_posterior,quota,decay3.0,0.5,34482,0.7269679352042129,"{'0': 0.8566234946603045, '1': 0.8136973180076629, '2': 0.5105829929446714}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,decay3.0,2.0,34482,0.7573846742331,"{'0': 0.8647625410611881, '1': 0.8626797249426964, '2': 0.5447117566954154}","{'0': 9159, '1': 2711, '2': 1713}"
ratio_prefix,exact_posterior,quota,decay3.0,2.0,34482,0.7146572786052953,"{'0': 0.8458304930697569, '1': 0.8180076628352491, '2': 0.4801336799108801}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,decay3.0,10.0,34482,0.7362172179991905,"{'0': 0.8673908367390837, '1': 0.8677405680373039, '2': 0.4735202492211838}","{'0': 9794, '1': 2630, '2': 1159}"
ratio_prefix,exact_posterior,quota,decay3.0,10.0,34482,0.6926514832528946,"{'0': 0.8349238809361509, '1': 0.7859195402298851, '2': 0.45711102859264763}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,decay3.0,0.5,34482,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,decay3.0,0.5,34482,0.6508134211279509,"{'0': 0.7828902522154055, '1': 0.7150383141762452, '2': 0.454511696992202}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,decay3.0,5.0,34482,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,decay3.0,5.0,34482,0.6508134211279509,"{'0': 0.7828902522154055, '1': 0.7150383141762452, '2': 0.454511696992202}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,decay3.0,0.5,34482,0.7517920587053135,"{'0': 0.8622398414271556, '1': 0.8594749613942202, '2': 0.533661373294565}","{'0': 9360, '1': 2445, '2': 1778}"
ratio_prefix,nb_full,quota,decay3.0,0.5,34482,0.7228968919569007,"{'0': 0.846739377414224, '1': 0.7983716475095786, '2': 0.5235796509468994}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,decay3.0,5.0,34482,0.7517920587053135,"{'0': 0.8622398414271556, '1': 0.8594749613942202, '2': 0.533661373294565}","{'0': 9360, '1': 2445, '2': 1778}"
ratio_prefix,nb_full,quota,decay3.0,5.0,34482,0.7185323992973736,"{'0': 0.8436718927516473, '1': 0.7983716475095786, '2': 0.5135536576308949}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,decay3.0,0.5,34482,0.7520596381640554,"{'0': 0.859655017921147, '1': 0.8589850249584027, '2': 0.5375388716126166}","{'0': 9054, '1': 2720, '2': 1809}"
ratio_prefix,nb_full_single,quota,decay3.0,0.5,34482,0.7165208477278887,"{'0': 0.8535560099977277, '1': 0.7969348659003831, '2': 0.49907166728555513}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,decay3.0,5.0,34482,0.7520596381640554,"{'0': 0.859655017921147, '1': 0.8589850249584027, '2': 0.5375388716126166}","{'0': 9054, '1': 2720, '2': 1809}"
ratio_prefix,nb_full_single,quota,decay3.0,5.0,34482,0.7165208477278887,"{'0': 0.8535560099977277, '1': 0.7969348659003831, '2': 0.49907166728555513}","{'0': 8802, '1': 2088, '2': 2693}"
