split,alpha_meta,w2,variant,macro_f1,per_class_f1,counts
actual_prefix,0.9,0.9,raw,0.7700816498987217,"{'0': 0.8758212877792378, '1': 0.8608247422680413, '2': 0.5735989196488859}","{'0': 12498, '1': 2932, '2': 2424}"
actual_prefix,1.0,1.25,raw,0.7700078593232499,"{'0': 0.8684869739478958, '1': 0.8609832443380593, '2': 0.5805533596837945}","{'0': 12098, '1': 2931, '2': 2825}"
actual_prefix,0.8,1.0,raw,0.7697769811746767,"{'0': 0.8717013960810307, '1': 0.8618275607958733, '2': 0.5758019866471259}","{'0': 12285, '1': 2928, '2': 2641}"
actual_prefix,0.7000000000000001,0.9,raw,0.7696148298920232,"{'0': 0.8715611534637057, '1': 0.8616688156198195, '2': 0.5756145205925444}","{'0': 12282, '1': 2929, '2': 2643}"
actual_prefix,0.8,0.9,raw,0.7693572880219737,"{'0': 0.8740063429301042, '1': 0.8618275607958733, '2': 0.5722379603399433}","{'0': 12425, '1': 2928, '2': 2501}"
actual_prefix,0.9,1.0,raw,0.7692707283794912,"{'0': 0.8727332810111942, '1': 0.8608247422680413, '2': 0.5742541618592385}","{'0': 12355, '1': 2932, '2': 2567}"
actual_prefix,1.0,1.0,raw,0.7692667716392373,"{'0': 0.874526904722725, '1': 0.8609832443380593, '2': 0.5722901658569275}","{'0': 12454, '1': 2931, '2': 2469}"
actual_prefix,1.0,1.16,raw,0.7691670089415567,"{'0': 0.8698977471111481, '1': 0.8609832443380593, '2': 0.5766200353754622}","{'0': 12204, '1': 2931, '2': 2719}"
actual_prefix,0.9,1.16,raw,0.7689250972139323,"{'0': 0.8693047060292098, '1': 0.8608247422680413, '2': 0.5766458433445459}","{'0': 12179, '1': 2932, '2': 2743}"
actual_prefix,1.0,1.08,raw,0.768871383102932,"{'0': 0.8730662926446928, '1': 0.8609832443380593, '2': 0.5725646123260437}","{'0': 12387, '1': 2931, '2': 2536}"
actual_prefix,0.8,1.08,raw,0.7688349162204903,"{'0': 0.8695326791950774, '1': 0.8618275607958733, '2': 0.5751445086705202}","{'0': 12198, '1': 2928, '2': 2728}"
actual_prefix,0.7000000000000001,1.0,raw,0.7679207320562793,"{'0': 0.8687658583253608, '1': 0.8618275607958733, '2': 0.5731687770476038}","{'0': 12187, '1': 2928, '2': 2739}"
actual_prefix,0.5,1.25,quota,0.7677707536937501,"{'0': 0.8559979753669648, '1': 0.8896, '2': 0.5577142857142857}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.8,1.16,raw,0.7671454894380064,"{'0': 0.8659362716400435, '1': 0.8618275607958733, '2': 0.5736726358781025}","{'0': 12060, '1': 2928, '2': 2866}"
actual_prefix,0.9,1.25,raw,0.7665465426467989,"{'0': 0.8655904984944798, '1': 0.8608247422680413, '2': 0.5732243871778756}","{'0': 12058, '1': 2932, '2': 2864}"
actual_prefix,0.8,1.25,raw,0.7664552249888018,"{'0': 0.8642006374769334, '1': 0.8618275607958733, '2': 0.5733374766935985}","{'0': 11990, '1': 2928, '2': 2936}"
actual_prefix,0.5,1.08,quota,0.7662334401889658,"{'0': 0.8603003205668972, '1': 0.8884, '2': 0.55}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.4,1.25,quota,0.765462337808415,"{'0': 0.854901299139531, '1': 0.8852, '2': 0.5562857142857143}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.7000000000000001,1.08,raw,0.765343284926506,"{'0': 0.8649303958864596, '1': 0.8618275607958733, '2': 0.5692718980971851}","{'0': 12067, '1': 2928, '2': 2859}"
actual_prefix,0.6000000000000001,0.9,raw,0.7653185076771494,"{'0': 0.867544989817547, '1': 0.8616688156198195, '2': 0.5667417175940817}","{'0': 12207, '1': 2929, '2': 2718}"
actual_prefix,0.4,1.08,quota,0.7650922638128982,"{'0': 0.8546482200101232, '1': 0.8852, '2': 0.5554285714285714}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.4,1.16,quota,0.7650922638128982,"{'0': 0.8546482200101232, '1': 0.8852, '2': 0.5554285714285714}","{'0': 11854, '1': 2500, '2': 3500}"
actual_prefix,0.7000000000000001,1.16,raw,0.7643868954540675,"{'0': 0.8627878686186501, '1': 0.8618275607958733, '2': 0.5685452569476789}","{'0': 11985, '1': 2928, '2': 2941}"
